1,Marcus Smart,Oklahoma State,1.91,100,PG,1
2,Payton Pritchard,Oregon,1.88,86,PG,1
3,J.D. Davison,Alabama,1.91,88,PG,1
4,Derrick White,Colorado,1.93,86,SG,1
5,Malcolm Brogdon,Virginia,1.96,104,SG,1
6,Jaylen Brown,California,1.98,100,SF,1
7,Sam Hauser,Virginia,2.03,98,SF,1
8,Danilo Gallinari,Italia,2.08,106,SF,1
9,Justin Jackson,North Carolina,2.01,100,SF,1
10,Jayson Tatum,Duke,2.03,95,PF,1
11,Grant Williams,Tennessee,1.98,107,PF,1
12,Blake Griffin,Oklahoma,2.06,113,PF,1
13,Al Horford,Florida,2.06,109,C,1
14,Mfiondu Kabengele,Florida State,2.06,113, C,1
15,Robert Williams,Texas A&M,2.03,109, C,1
16,Noah Vonleh,Indiana,2.08,117,C,1
17,Luke Kornet,Vanderbilt,2.18,113,C,1
18,Fred VanVleet,Wichita State,1.83,91,PG,2
19,Malachi Flynn,San Diego State,1.85,80,PG,2
20,Jeff Dowtin,Rhode Island,1.91,84,PG,2
21,Gary Trent Jr,Duke,1.96,93,SG,2
22,Dalano Banton,Nebraska,2.01,92,SG,2
23,OG Anunoby,Indiana,2.01,109,SF,2
24,Otto Porter,Georgetown,2.03,103,SF,2
25,Justin Champagnie,Pittsburgh,1.98,95,SF,2
26,Ron Harper Jr.,Rutgers,1.93,109,SF,2
27,Scottie Barnes,Florida State,2.03,102,PF,2
28,Chris Boucher,Oregon,2.06,90,PF,2
29,Thaddeus Young,Georgia Tech,2.03,107,PF,2
30,Juancho Hernangomez,España,2.06,97,PF,2
31,Pascal Siakam,New Mexico State,2.03,97,C,2
32,Precious Achiuwa,Memphis,2.03,111,C,2
33,Khem Birch,UNLV,2.03,103,C,2
34,Christian Koloko,Arizona,2.16,100,C,2
35,Tyrese Maxey,Kentucky,1.91,90,PG,3
36,D´Anthony Melton,USC,1.89,89,PG,3
37,Shake Milton,SMU,1.96,93,PG,3
38,James Harden,Arizona State,1.96,100,SG,3
39,Furkan Korkmaz,Turquía,2.01,92,SG,3
40,Jaden Springer,Tennessee,1.93,93,SG,3
41,Julian Champagnie,St. John´s,1.98,96,SG,3
42,Tobias Harris,Tennessee,2.02,103,SF,3
43,Matisse Thybulle,Washington,1.96,91,SF,3
44,Danuel House,Texas A&M,1.98,98,SF,3
45,P.J. Tucker,Texas,1.96,111,PF,3
46,Georges Niang,Iowa State,2.01,104,PF,3
47,Michael Foster Jr.,NBA G-League,2.03,113,PF,3
48,Joel Embiid,Kansas,2.13,127,C,3
49,Paul Reed,DePaul,2.03,100,C,3
50,Montrezl Harrell,Louisville,2.01,109,C,3
51,Kyrie Irving,Duke,1.88,88,PG,4
52,Patty Mills,Saint Marys,1.85,82,PG,4
53,Edmond Sumner,Xavier,1.93,89,PG,4
54,Alondes Williams,Wake Forest,1.93,95,PG,4
